% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.329	0	0	33	10	14	0	349	0
0.344	0	0	35	5	2	28	9422	0
0.345	0	0	35	6	3	28	9422	0
0.346	0	0	35	7	4	28	9422	0
0.347	0	0	35	8	1	24	6882	0
0.348	0	0	35	9	5	24	6882	0
0.349	0	0	35	10	6	26	7708	0
0.35	0	0	36	1	7	24	6882	0
0.351	0	0	36	2	8	28	9422	0
0.352	0	0	36	3	9	28	9422	0
0.353	0	0	36	4	10	24	6882	0
0.354	0	0	36	5	11	26	7708	0
0.355	0	0	36	6	12	28	9422	0
0.356	0	0	36	7	13	28	9422	0
0.357	0	0	36	8	14	24	6882	0
0.372	0	0	38	3	2	28	9422	0
0.373	0	0	38	4	3	28	9422	0
0.374	0	0	38	5	4	28	9422	0
0.375	0	0	38	6	1	24	6882	0
0.376	0	0	38	7	5	24	6882	0
0.377	0	0	38	8	6	26	7708	0
0.378	0	0	38	9	7	24	6882	0
0.379	0	0	38	10	8	28	9422	0
0.38	0	0	39	1	9	28	9422	0
0.381	0	0	39	2	10	24	6882	0
0.382	0	0	39	3	11	26	7708	0
0.383	0	0	39	4	12	28	9422	0
0.384	0	0	39	5	13	28	9422	0
0.385	0	0	39	6	14	24	6882	0
0.4	0	0	41	1	2	28	9422	0
0.401	0	0	41	2	3	28	9422	0
0.402	0	0	41	3	4	28	9422	0
0.403	0	0	41	4	1	24	6882	0
0.404	0	0	41	5	5	24	6882	0
0.405	0	0	41	6	6	26	7708	0
0.406	0	0	41	7	7	24	6882	0
0.407	0	0	41	8	8	28	9422	0
0.408	0	0	41	9	9	28	9422	0
0.409	0	0	41	10	10	24	6882	0
0.41	0	0	42	1	11	26	7708	0
0.411	0	0	42	2	12	28	9422	0
0.412	0	0	42	3	13	28	9422	0
0.413	0	0	42	4	14	24	6882	0
0.428	0	0	43	9	2	28	9422	0
0.429	0	0	43	10	3	28	9422	0
0.43	0	0	44	1	4	28	9422	0
0.431	0	0	44	2	1	24	6882	0
0.432	0	0	44	3	5	24	6882	0
0.433	0	0	44	4	6	26	7708	0
0.434	0	0	44	5	7	24	6882	0
0.435	0	0	44	6	8	28	9422	0
0.436	0	0	44	7	9	28	9422	0
0.437	0	0	44	8	10	24	6882	0
0.438	0	0	44	9	11	26	7708	0
0.439	0	0	44	10	12	28	9422	0
0.44	0	0	45	1	13	28	9422	0
0.441	0	0	45	2	14	24	6882	0
0.456	0	0	46	7	2	28	9422	0
0.457	0	0	46	8	3	28	9422	0
0.458	0	0	46	9	4	28	9422	0
0.459	0	0	46	10	1	24	6882	0
0.46	0	0	47	1	5	24	6882	0
0.461	0	0	47	2	6	26	7708	0
0.462	0	0	47	3	7	24	6882	0
0.463	0	0	47	4	8	28	9422	0
0.464	0	0	47	5	9	28	9422	0
0.465	0	0	47	6	10	24	6882	0
0.466	0	0	47	7	11	26	7708	0
0.467	0	0	47	8	12	28	9422	0
0.468	0	0	47	9	13	28	9422	0
0.469	0	0	47	10	14	24	6882	0
0.484	0	0	49	5	2	28	9422	0
0.485	0	0	49	6	3	28	9422	0
0.486	0	0	49	7	4	28	9422	0
0.487	0	0	49	8	1	24	6882	0
0.488	0	0	49	9	5	24	6882	0
0.489	0	0	49	10	6	26	7708	0
0.49	0	0	50	1	7	24	6882	0
0.491	0	0	50	2	8	28	9422	0
0.492	0	0	50	3	9	28	9422	0
0.493	0	0	50	4	10	24	6882	0
0.494	0	0	50	5	11	26	7708	0
0.495	0	0	50	6	12	28	9422	0
0.496	0	0	50	7	13	28	9422	0
0.497	0	0	50	8	14	24	6882	0
0.512	0	0	52	3	2	28	9422	0
0.513	0	0	52	4	3	28	9422	0
0.514	0	0	52	5	4	28	9422	0
0.515	0	0	52	6	1	24	6882	0
0.516	0	0	52	7	5	24	6882	0
0.517	0	0	52	8	6	26	7708	0
0.518	0	0	52	9	7	24	6882	0
0.519	0	0	52	10	8	28	9422	0
0.52	0	0	53	1	9	28	9422	0
0.521	0	0	53	2	10	24	6882	0
0.522	0	0	53	3	11	26	7708	0
0.523	0	0	53	4	12	28	9422	0
0.524	0	0	53	5	13	28	9422	0
0.525	0	0	53	6	14	24	6882	0
0.54	0	0	55	1	2	28	9422	0
0.541	0	0	55	2	3	28	9422	0
0.542	0	0	55	3	4	28	9422	0
0.543	0	0	55	4	1	24	6882	0
0.544	0	0	55	5	5	24	6882	0
0.545	0	0	55	6	6	26	7708	0
0.546	0	0	55	7	7	24	6882	0
0.547	0	0	55	8	8	28	9422	0
0.548	0	0	55	9	9	28	9422	0
0.549	0	0	55	10	10	24	6882	0
0.55	0	0	56	1	11	26	7708	0
0.551	0	0	56	2	12	28	9422	0
0.552	0	0	56	3	13	28	9422	0
0.553	0	0	56	4	14	24	6882	0
0.568	0	0	57	9	2	28	9422	0
0.569	0	0	57	10	3	28	9422	0
0.57	0	0	58	1	4	28	9422	0
0.571	0	0	58	2	1	24	6882	0
0.572	0	0	58	3	5	24	6882	0
0.573	0	0	58	4	6	26	7708	0
0.574	0	0	58	5	7	24	6882	0
0.575	0	0	58	6	8	28	9422	0
0.576	0	0	58	7	9	28	9422	0
0.577	0	0	58	8	10	24	6882	0
0.578	0	0	58	9	11	26	7708	0
0.579	0	0	58	10	12	28	9422	0
0.58	0	0	59	1	13	28	9422	0
0.581	0	0	59	2	14	24	6882	0
0.596	0	0	60	7	2	28	9422	0
0.597	0	0	60	8	3	28	9422	0
0.598	0	0	60	9	4	28	9422	0
0.599	0	0	60	10	1	24	6882	0
0.6	0	0	61	1	5	24	6882	0
0.601	0	0	61	2	6	26	7708	0
0.602	0	0	61	3	7	24	6882	0
0.603	0	0	61	4	8	28	9422	0
0.604	0	0	61	5	9	28	9422	0
0.605	0	0	61	6	10	24	6882	0
0.606	0	0	61	7	11	26	7708	0
0.607	0	0	61	8	12	28	9422	0
0.608	0	0	61	9	13	28	9422	0
0.609	0	0	61	10	14	24	6882	0
0.624	0	0	63	5	2	28	9422	0
0.625	0	0	63	6	3	28	9422	0
0.626	0	0	63	7	4	28	9422	0
0.627	0	0	63	8	1	24	6882	0
0.628	0	0	63	9	5	24	6882	0
0.629	0	0	63	10	6	26	7708	0
0.63	0	0	64	1	7	24	6882	0
0.631	0	0	64	2	8	28	9422	0
0.632	0	0	64	3	9	28	9422	0
0.633	0	0	64	4	10	24	6882	0
0.634	0	0	64	5	11	26	7708	0
0.635	0	0	64	6	12	28	9422	0
0.636	0	0	64	7	13	28	9422	0
0.637	0	0	64	8	14	24	6882	0
0.652	0	0	66	3	2	28	9422	0
0.653	0	0	66	4	3	28	9422	0
0.654	0	0	66	5	4	28	9422	0
0.655	0	0	66	6	1	24	6882	0
0.656	0	0	66	7	5	24	6882	0
0.657	0	0	66	8	6	26	7708	0
0.658	0	0	66	9	7	24	6882	0
0.659	0	0	66	10	8	28	9422	0
0.66	0	0	67	1	9	28	9422	0
0.661	0	0	67	2	10	24	6882	0
0.662	0	0	67	3	11	26	7708	0
0.663	0	0	67	4	12	28	9422	0
0.664	0	0	67	5	13	28	9422	0
0.665	0	0	67	6	14	24	6882	0
0.68	0	0	69	1	2	28	9422	0
0.681	0	0	69	2	3	28	9422	0
0.682	0	0	69	3	4	28	9422	0
0.683	0	0	69	4	1	24	6882	0
0.684	0	0	69	5	5	24	6882	0
0.685	0	0	69	6	6	26	7708	0
0.686	0	0	69	7	7	24	6882	0
0.687	0	0	69	8	8	28	9422	0
0.688	0	0	69	9	9	28	9422	0
0.689	0	0	69	10	10	24	6882	0
0.69	0	0	70	1	11	26	7708	0
0.691	0	0	70	2	12	28	9422	0
0.692	0	0	70	3	13	28	9422	0
0.693	0	0	70	4	14	24	6882	0
